method,run_device,phase,path,ownership,kind,shape,dtype,device,storage_ptr,storage_offset,storage_bytes,logical_bytes,unique_physical_bytes,alias_of,python_shallow_bytes
CA2FL,cpu,after5,state.cache_mean.weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792446721664,0,32,32,32,,0
DirBridge,cpu,init,state.net_glob.weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447298112,0,32,32,32,,0
DirBridge,cpu,init,state.w_glob.weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792349002880,0,32,32,32,,0
DirBridge,cpu,init,state.dataset_train,shared,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,init,state.dict_users.0,shared,list_metadata,,,,,,0,0,0,,64
DirBridge,cpu,init,state.dict_users.1,shared,list_metadata,,,,,,0,0,0,,64
DirBridge,cpu,init,state.dict_users.2,shared,list_metadata,,,,,,0,0,0,,64
DirBridge,cpu,init,state.dict_users.3,shared,list_metadata,,,,,,0,0,0,,64
DirBridge,cpu,init,state.dict_users.4,shared,list_metadata,,,,,,0,0,0,,64
DirBridge,cpu,init,state.dict_users.5,shared,list_metadata,,,,,,0,0,0,,64
DirBridge,cpu,init,state.num_samples,shared,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,init,state.delta,shared,list_metadata,,,,,,0,0,0,,120
DirBridge,cpu,init,state.delta[0].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792349002560,0,32,32,32,,0
DirBridge,cpu,init,state.delta[1].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792448578496,0,32,32,32,,0
DirBridge,cpu,init,state.delta[2].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447857408,0,32,32,32,,0
DirBridge,cpu,init,state.delta[3].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447883776,0,32,32,32,,0
DirBridge,cpu,init,state.delta[4].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447886272,0,32,32,32,,0
DirBridge,cpu,init,state.delta[5].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447888768,0,32,32,32,,0
DirBridge,cpu,init,state.stamp,shared,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,init,state.cost,shared,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,init,state.delays,shared,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,init,state.client_delay_groups,method_owned,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,init,state.client_delay_group_probs,method_owned,list_metadata,,,,,,0,0,0,,88
DirBridge,cpu,init,state.group_ids,method_owned,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,init,state.count_sketch_plan,method_owned,list_metadata,,,,,,0,0,0,,88
DirBridge,cpu,init,state.count_sketch_plan[0],method_owned,tuple_metadata,,,,,,0,0,0,,64
DirBridge,cpu,init,state.count_sketch_plan[0][1],method_owned,tensor,"(8,)",torch.int64,cpu,94792444944192,0,64,64,64,,0
DirBridge,cpu,init,state.count_sketch_plan[0][2],method_owned,tensor,"(8,)",torch.int8,cpu,94792447870400,0,8,8,8,,0
DirBridge,cpu,init,state.group_centroids,method_owned,tensor,"(2, 8)",torch.float32,cpu,94792446863296,0,64,64,64,,0
DirBridge,cpu,init,state.group_cache,method_owned,list_metadata,,,,,,0,0,0,,88
DirBridge,cpu,init,state.group_cache[0].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792446864960,0,32,32,32,,0
DirBridge,cpu,init,state.group_cache[1].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447884864,0,32,32,32,,0
DirBridge,cpu,init,state.group_cache_stamp,method_owned,list_metadata,,,,,,0,0,0,,72
DirBridge,cpu,init,state.group_cache_delay,method_owned,list_metadata,,,,,,0,0,0,,72
DirBridge,cpu,init,state.group_members,method_owned,list_metadata,,,,,,0,0,0,,88
DirBridge,cpu,init,state.group_members[0],method_owned,list_metadata,,,,,,0,0,0,,120
DirBridge,cpu,init,state.group_members[1],method_owned,list_metadata,,,,,,0,0,0,,56
DirBridge,cpu,init,state.group_counts,method_owned,list_metadata,,,,,,0,0,0,,72
DirBridge,cpu,init,state.group_weights,method_owned,list_metadata,,,,,,0,0,0,,72
DirBridge,cpu,init,state.client_features,method_owned,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,init,state.client_features[0],method_owned,tensor,"(8,)",torch.float32,cpu,94792348936896,0,32,32,32,,0
DirBridge,cpu,init,state.client_features[1],method_owned,tensor,"(8,)",torch.float32,cpu,94792447865728,0,32,32,32,,0
DirBridge,cpu,init,state.client_features[2],method_owned,tensor,"(8,)",torch.float32,cpu,94792447864896,0,32,32,32,,0
DirBridge,cpu,init,state.client_features[3],method_owned,tensor,"(8,)",torch.float32,cpu,94792447884992,0,32,32,32,,0
DirBridge,cpu,init,state.client_features[4],method_owned,tensor,"(8,)",torch.float32,cpu,94792447887488,0,32,32,32,,0
DirBridge,cpu,init,state.client_features[5],method_owned,tensor,"(8,)",torch.float32,cpu,94792447889984,0,32,32,32,,0
DirBridge,cpu,init,state.inflight.5.delta.weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447888768,0,32,32,0,state.delta[5].weight,0
DirBridge,cpu,init,state.inflight.5.feature,method_owned,tensor,"(8,)",torch.float32,cpu,94792447889984,0,32,32,0,state.client_features[5],0
DirBridge,cpu,init,state.inflight.0.delta.weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792349002560,0,32,32,0,state.delta[0].weight,0
DirBridge,cpu,init,state.inflight.0.feature,method_owned,tensor,"(8,)",torch.float32,cpu,94792348936896,0,32,32,0,state.client_features[0],0
DirBridge,cpu,init,state.inflight.4.delta.weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447886272,0,32,32,0,state.delta[4].weight,0
DirBridge,cpu,init,state.inflight.4.feature,method_owned,tensor,"(8,)",torch.float32,cpu,94792447887488,0,32,32,0,state.client_features[4],0
DirBridge,cpu,init,state.inflight.2.delta.weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447857408,0,32,32,0,state.delta[2].weight,0
DirBridge,cpu,init,state.inflight.2.feature,method_owned,tensor,"(8,)",torch.float32,cpu,94792447864896,0,32,32,0,state.client_features[2],0
DirBridge,cpu,init,state.client_embeds,method_owned,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,init,state.client_embeds[0],method_owned,tensor,"(8,)",torch.float32,cpu,94792447865024,0,32,32,32,,0
DirBridge,cpu,init,state.client_embeds[1],method_owned,tensor,"(8,)",torch.float32,cpu,94792447865152,0,32,32,32,,0
DirBridge,cpu,init,state.client_embeds[2],method_owned,tensor,"(8,)",torch.float32,cpu,94792446863808,0,32,32,32,,0
DirBridge,cpu,init,state.client_embeds[3],method_owned,tensor,"(8,)",torch.float32,cpu,94792446864000,0,32,32,32,,0
DirBridge,cpu,init,state.client_embeds[4],method_owned,tensor,"(8,)",torch.float32,cpu,94792446864128,0,32,32,32,,0
DirBridge,cpu,init,state.client_embeds[5],method_owned,tensor,"(8,)",torch.float32,cpu,94792446864320,0,32,32,32,,0
DirBridge,cpu,init,state.oracle_features,method_owned,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,init,state.oracle_features[0],method_owned,tensor,"(8,)",torch.float32,cpu,94792447890112,0,32,32,32,,0
DirBridge,cpu,init,state.oracle_features[1],method_owned,tensor,"(8,)",torch.float32,cpu,94792447890304,0,32,32,32,,0
DirBridge,cpu,init,state.oracle_features[2],method_owned,tensor,"(8,)",torch.float32,cpu,94792447890432,0,32,32,32,,0
DirBridge,cpu,init,state.oracle_features[3],method_owned,tensor,"(8,)",torch.float32,cpu,94792447890624,0,32,32,32,,0
DirBridge,cpu,init,state.oracle_features[4],method_owned,tensor,"(8,)",torch.float32,cpu,94792447890752,0,32,32,32,,0
DirBridge,cpu,init,state.oracle_features[5],method_owned,tensor,"(8,)",torch.float32,cpu,94792447890944,0,32,32,32,,0
DirBridge,cpu,init,state.arrival_count,method_owned,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,init,state.e2_client_last_arrival,method_owned,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,init,state.e2_oracle_weights,method_owned,list_metadata,,,,,,0,0,0,,72
DirBridge,cpu,init,state.prev_rebuild_centroids,method_owned,tensor,"(2, 8)",torch.float32,cpu,94792446868544,0,64,64,64,,0
DirBridge,cpu,init,state.prev_rebuild_group_ids,method_owned,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,after5,state.net_glob.weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447298112,0,32,32,32,,0
DirBridge,cpu,after5,state.w_glob.weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792349002880,0,32,32,32,,0
DirBridge,cpu,after5,state.dataset_train,shared,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,after5,state.dict_users.0,shared,list_metadata,,,,,,0,0,0,,64
DirBridge,cpu,after5,state.dict_users.1,shared,list_metadata,,,,,,0,0,0,,64
DirBridge,cpu,after5,state.dict_users.2,shared,list_metadata,,,,,,0,0,0,,64
DirBridge,cpu,after5,state.dict_users.3,shared,list_metadata,,,,,,0,0,0,,64
DirBridge,cpu,after5,state.dict_users.4,shared,list_metadata,,,,,,0,0,0,,64
DirBridge,cpu,after5,state.dict_users.5,shared,list_metadata,,,,,,0,0,0,,64
DirBridge,cpu,after5,state.num_samples,shared,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,after5,state.delta,shared,list_metadata,,,,,,0,0,0,,120
DirBridge,cpu,after5,state.delta[0].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447228352,0,32,32,32,,0
DirBridge,cpu,after5,state.delta[1].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447190016,0,32,32,32,,0
DirBridge,cpu,after5,state.delta[2].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792446864512,0,32,32,32,,0
DirBridge,cpu,after5,state.delta[3].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792446863680,0,32,32,32,,0
DirBridge,cpu,after5,state.delta[4].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447886272,0,32,32,32,,0
DirBridge,cpu,after5,state.delta[5].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447888768,0,32,32,32,,0
DirBridge,cpu,after5,state.stamp,shared,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,after5,state.cost,shared,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,after5,state.delays,shared,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,after5,state.last_buffer_list,shared,list_metadata,,,,,,0,0,0,,72
DirBridge,cpu,after5,state.last_selected_item_summary,shared,list_metadata,,,,,,0,0,0,,88
DirBridge,cpu,after5,state.last_valid_buffer_list,shared,list_metadata,,,,,,0,0,0,,72
DirBridge,cpu,after5,state.last_invalid_buffer_list,shared,list_metadata,,,,,,0,0,0,,56
DirBridge,cpu,after5,state.client_delay_groups,method_owned,list_metadata,,,,,,0,0,0,,104
